law_code,source_id,group_legal_name,category_code,special_management,special_organic,match_kind,match_pattern,status,reviewed_by,source_url,note
ish,RJ_04_031,ジクロルベンジジン及びその塩,tokka_class_1,1,0,name_regex,ジクロロベンジジン|ジクロルベンジジン|ジクロロビフェニル.*(ジアミン|ジアンモニウム),reviewed,Ameyanagi,https://laws.e-gov.go.jp/law/347CO0000000318,"別表第3第1号1。3,3'-ジクロロビフェニル-4,4'-ジイルジアミン系の塩を含む"
ish,RJ_04_031,アルフア－ナフチルアミン及びその塩,tokka_class_1,1,0,name_regex,1-ナフチルアミン|α-ナフチルアミン|ナフタレン-1-アミン|1-ナフタレンアミン|1-アミノナフタレン|ナフタレン-1-イルアミン|ナフタレン-1-アンモニウム,reviewed,Ameyanagi,https://laws.e-gov.go.jp/law/347CO0000000318,別表第3第1号2
ish,RJ_04_031,オルト－トリジン及びその塩,tokka_class_1,1,0,name_regex,"ジメチルベンジジン|o-トリジン|オルト-トリジン|3,3'-ジメチルビフェニル.*(ジアミン|ジアンモニウム)|トリジン",reviewed,Ameyanagi,https://laws.e-gov.go.jp/law/347CO0000000318,別表第3第1号4
ish,RJ_04_031,ジアニシジン及びその塩,tokka_class_1,1,0,name_regex,ジアニシジン|ジメトキシベンジジン|ジメトキシビフェニル.*(ジアミン|ジアンモニウム),reviewed,Ameyanagi,https://laws.e-gov.go.jp/law/347CO0000000318,別表第3第1号5
ish,RJ_04_031,ベンゾトリクロリド,tokka_class_1,1,0,name_regex,ベンゾトリクロリド|ベンジリジン=トリクロリド|トリクロロメチル\)?ベンゼン,reviewed,Ameyanagi,https://laws.e-gov.go.jp/law/347CO0000000318,別表第3第1号7。含有率0.5 %超が対象
ish,RJ_04_031,塩素化ビフェニル（別名ＰＣＢ）,tokka_class_1,0,0,name_regex,"(?i)クロロビフェニル|クロロ-1,1'-ビフェニル|PCB|ポリ塩化ビフェニル|塩素化ビフェニル|chlorobiphenyl",reviewed,Ameyanagi,https://laws.e-gov.go.jp/law/347CO0000000318,別表第3第1号3。特化則38条の4で特別管理物質から除外（塩素化ビフェニル等を除く）
ish,RJ_04_031,ベリリウム及びその化合物,tokka_class_1,1,0,name_regex,(?i)ベリリウム|ベリラート|beryll,reviewed,Ameyanagi,https://laws.e-gov.go.jp/law/347CO0000000318,別表第3第1号6
ish,RJ_04_031,アルキル水銀化合物,tokka_class_2,0,0,name_regex,(メチル|エチル)\)水銀|ジ(メチル|エチル)水銀|(メチル|エチル)水銀|エタニド.*メルクラート|チメロサール,reviewed,Ameyanagi,https://laws.e-gov.go.jp/law/347CO0000000318,別表第3第2号3（アルキル基がメチル基又はエチル基）
ish,RJ_04_031,水銀及びその無機化合物,tokka_class_2,0,0,name_regex,(?i)水銀|メルクラート|メルクリ|mercur,reviewed,Ameyanagi,https://laws.e-gov.go.jp/law/347CO0000000318,別表第3第2号22（硫化水銀を除く）。アルキル水銀化合物は第2号3の別ルール; 特管群（クロム酸11・重クロム酸21・砒素27の2・コバルト13の2）と同時一致した場合は厳格側（特管）が優先
ish,RJ_04_031,重クロム酸及びその塩,tokka_class_2,1,0,name_regex,(?i)二クロム酸|重クロム酸|ジクロマート|ジクロム酸|ヘプタオキシド二クロム|dichromate,reviewed,Ameyanagi,https://laws.e-gov.go.jp/law/347CO0000000318,別表第3第2号21
