cas_number,category,label_ja,label_en,law_name_ja,law_name_en,law_reference,law_id
1000597-52-3,class_i_specified,第一種特定化学物質,Class I Specified Chemical,化学物質の審査及び製造等の規制に関する法律,Chemical Substances Control Law,NITE-CHRIP RJ_01_001,349CO0000000202
100155-23-5,class_i_specified,第一種特定化学物質,Class I Specified Chemical,化学物質の審査及び製造等の規制に関する法律,Chemical Substances Control Law,NITE-CHRIP RJ_01_001,349CO0000000202
1017281-31-0,class_i_specified,第一種特定化学物質,Class I Specified Chemical,化学物質の審査及び製造等の規制に関する法律,Chemical Substances Control Law,NITE-CHRIP RJ_01_001,349CO0000000202
101947-16-4,class_i_specified,第一種特定化学物質,Class I Specified Chemical,化学物質の審査及び製造等の規制に関する法律,Chemical Substances Control Law,NITE-CHRIP RJ_01_001,349CO0000000202
1027045-74-4,class_i_specified,第一種特定化学物質,Class I Specified Chemical,化学物質の審査及び製造等の規制に関する法律,Chemical Substances Control Law,NITE-CHRIP RJ_01_001,349CO0000000202
103173-66-6,class_i_specified,第一種特定化学物質,Class I Specified Chemical,化学物質の審査及び製造等の規制に関する法律,Chemical Substances Control Law,NITE-CHRIP RJ_01_001,349CO0000000202
103426-92-2,class_i_specified,第一種特定化学物質,Class I Specified Chemical,化学物質の審査及び製造等の規制に関する法律,Chemical Substances Control Law,NITE-CHRIP RJ_01_001,349CO0000000202
103426-93-3,class_i_specified,第一種特定化学物質,Class I Specified Chemical,化学物質の審査及び製造等の規制に関する法律,Chemical Substances Control Law,NITE-CHRIP RJ_01_001,349CO0000000202
103426-94-4,class_i_specified,第一種特定化学物質,Class I Specified Chemical,化学物質の審査及び製造等の規制に関する法律,Chemical Substances Control Law,NITE-CHRIP RJ_01_001,349CO0000000202
103426-95-5,class_i_specified,第一種特定化学物質,Class I Specified Chemical,化学物質の審査及び製造等の規制に関する法律,Chemical Substances Control Law,NITE-CHRIP RJ_01_001,349CO0000000202
103426-96-6,class_i_specified,第一種特定化学物質,Class I Specified Chemical,化学物質の審査及び製造等の規制に関する法律,Chemical Substances Control Law,NITE-CHRIP RJ_01_001,349CO0000000202
103426-97-7,class_i_specified,第一種特定化学物質,Class I Specified Chemical,化学物質の審査及び製造等の規制に関する法律,Chemical Substances Control Law,NITE-CHRIP RJ_01_001,349CO0000000202
103555-98-2,class_i_specified,第一種特定化学物質,Class I Specified Chemical,化学物質の審査及び製造等の規制に関する法律,Chemical Substances Control Law,NITE-CHRIP RJ_01_001,349CO0000000202
10443-46-6,class_i_specified,第一種特定化学物質,Class I Specified Chemical,化学物質の審査及び製造等の規制に関する法律,Chemical Substances Control Law,NITE-CHRIP RJ_01_001,349CO0000000202
104948-36-9,class_i_specified,第一種特定化学物質,Class I Specified Chemical,化学物質の審査及び製造等の規制に関する法律,Chemical Substances Control Law,NITE-CHRIP RJ_01_001,349CO0000000202
1052668-28-6,class_i_specified,第一種特定化学物質,Class I Specified Chemical,化学物質の審査及び製造等の規制に関する法律,Chemical Substances Control Law,NITE-CHRIP RJ_01_001,349CO0000000202
10606-46-9,class_i_specified,第一種特定化学物質,Class I Specified Chemical,化学物質の審査及び製造等の規制に関する法律,Chemical Substances Control Law,NITE-CHRIP RJ_01_001,349CO0000000202
108145-39-7,class_i_specified,第一種特定化学物質,Class I Specified Chemical,化学物質の審査及び製造等の規制に関する法律,Chemical Substances Control Law,NITE-CHRIP RJ_01_001,349CO0000000202
108171-26-2,class_i_specified,第一種特定化学物質,Class I Specified Chemical,化学物質の審査及び製造等の規制に関する法律,Chemical Substances Control Law,NITE-CHRIP RJ_01_001,349CO0000000202
108427-54-9,class_i_specified,第一種特定化学物質,Class I Specified Chemical,化学物質の審査及び製造等の規制に関する法律,Chemical Substances Control Law,NITE-CHRIP RJ_01_001,349CO0000000202
108427-55-0,class_i_specified,第一種特定化学物質,Class I Specified Chemical,化学物質の審査及び製造等の規制に関する法律,Chemical Substances Control Law,NITE-CHRIP RJ_01_001,349CO0000000202
109328-45-2,class_i_specified,第一種特定化学物質,Class I Specified Chemical,化学物質の審査及び製造等の規制に関する法律,Chemical Substances Control Law,NITE-CHRIP RJ_01_001,349CO0000000202
109328-46-3,class_i_specified,第一種特定化学物質,Class I Specified Chemical,化学物質の審査及び製造等の規制に関する法律,Chemical Substances Control Law,NITE-CHRIP RJ_01_001,349CO0000000202
1093632-34-8,class_i_specified,第一種特定化学物質,Class I Specified Chemical,化学物質の審査及び製造等の規制に関する法律,Chemical Substances Control Law,NITE-CHRIP RJ_01_001,349CO0000000202
1094598-90-9,class_i_specified,第一種特定化学物質,Class I Specified Chemical,化学物質の審査及び製造等の規制に関する法律,Chemical Substances Control Law,NITE-CHRIP RJ_01_001,349CO0000000202
11097-69-1,class_i_specified,第一種特定化学物質,Class I Specified Chemical,化学物質の審査及び製造等の規制に関する法律,Chemical Substances Control Law,NITE-CHRIP RJ_01_001 政令番号: 1,349CO0000000202
11097-69-1,class_i_specified,第一種特定化学物質,Class I Specified Chemical Substance,化学物質の審査及び製造等の規制に関する法律,Chemical Substances Control Law,化審法施行令 第一条,349CO0000000202
11104-28-2,class_i_specified,第一種特定化学物質,Class I Specified Chemical,化学物質の審査及び製造等の規制に関する法律,Chemical Substances Control Law,NITE-CHRIP RJ_01_001,349CO0000000202
111276-74-5,class_i_specified,第一種特定化学物質,Class I Specified Chemical,化学物質の審査及び製造等の規制に関する法律,Chemical Substances Control Law,NITE-CHRIP RJ_01_001,349CO0000000202
111276-75-6,class_i_specified,第一種特定化学物質,Class I Specified Chemical,化学物質の審査及び製造等の規制に関する法律,Chemical Substances Control Law,NITE-CHRIP RJ_01_001,349CO0000000202
111276-76-7,class_i_specified,第一種特定化学物質,Class I Specified Chemical,化学物質の審査及び製造等の規制に関する法律,Chemical Substances Control Law,NITE-CHRIP RJ_01_001,349CO0000000202
111276-77-8,class_i_specified,第一種特定化学物質,Class I Specified Chemical,化学物質の審査及び製造等の規制に関する法律,Chemical Substances Control Law,NITE-CHRIP RJ_01_001,349CO0000000202
111276-78-9,class_i_specified,第一種特定化学物質,Class I Specified Chemical,化学物質の審査及び製造等の規制に関する法律,Chemical Substances Control Law,NITE-CHRIP RJ_01_001,349CO0000000202
111276-79-0,class_i_specified,第一種特定化学物質,Class I Specified Chemical,化学物質の審査及び製造等の規制に関する法律,Chemical Substances Control Law,NITE-CHRIP RJ_01_001,349CO0000000202
111276-80-3,class_i_specified,第一種特定化学物質,Class I Specified Chemical,化学物質の審査及び製造等の規制に関する法律,Chemical Substances Control Law,NITE-CHRIP RJ_01_001,349CO0000000202
111276-81-4,class_i_specified,第一種特定化学物質,Class I Specified Chemical,化学物質の審査及び製造等の規制に関する法律,Chemical Substances Control Law,NITE-CHRIP RJ_01_001,349CO0000000202
111276-82-5,class_i_specified,第一種特定化学物質,Class I Specified Chemical,化学物質の審査及び製造等の規制に関する法律,Chemical Substances Control Law,NITE-CHRIP RJ_01_001,349CO0000000202
111276-83-6,class_i_specified,第一種特定化学物質,Class I Specified Chemical,化学物質の審査及び製造等の規制に関する法律,Chemical Substances Control Law,NITE-CHRIP RJ_01_001,349CO0000000202
111393-39-6,class_i_specified,第一種特定化学物質,Class I Specified Chemical,化学物質の審査及び製造等の規制に関する法律,Chemical Substances Control Law,NITE-CHRIP RJ_01_001,349CO0000000202
11141-16-5,class_i_specified,第一種特定化学物質,Class I Specified Chemical,化学物質の審査及び製造等の規制に関する法律,Chemical Substances Control Law,NITE-CHRIP RJ_01_001,349CO0000000202
1144512-18-4,class_i_specified,第一種特定化学物質,Class I Specified Chemical,化学物質の審査及び製造等の規制に関する法律,Chemical Substances Control Law,NITE-CHRIP RJ_01_001,349CO0000000202
1144512-34-4,class_i_specified,第一種特定化学物質,Class I Specified Chemical,化学物質の審査及び製造等の規制に関する法律,Chemical Substances Control Law,NITE-CHRIP RJ_01_001,349CO0000000202
1144512-35-5,class_i_specified,第一種特定化学物質,Class I Specified Chemical,化学物質の審査及び製造等の規制に関する法律,Chemical Substances Control Law,NITE-CHRIP RJ_01_001,349CO0000000202
1144512-36-6,class_i_specified,第一種特定化学物質,Class I Specified Chemical,化学物質の審査及び製造等の規制に関する法律,Chemical Substances Control Law,NITE-CHRIP RJ_01_001,349CO0000000202
114482-33-6,class_i_specified,第一種特定化学物質,Class I Specified Chemical,化学物質の審査及び製造等の規制に関する法律,Chemical Substances Control Law,NITE-CHRIP RJ_01_001,349CO0000000202
