cas_number,category,label_ja,label_en,law_reference,law_id
10025-78-2,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
101-83-7,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
10102-45-1,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
10112-91-1,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
10294-56-1,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
10311-84-9,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
105-39-5,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
105779-78-0,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
105827-78-9,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
106-93-4,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
106917-52-6,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
108-24-7,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
108-31-6,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
108-46-3,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
108-62-3,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
108-88-3,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
108-91-8,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
108-95-2,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
109-52-4,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
109-61-5,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
110-46-3,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
110-91-8,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
111-14-8,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
111988-49-9,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
119168-77-3,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
124-40-3,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
