cas_number,alias_name,normalized_alias,source_type,source_ref
100-00-5,1-クロロ-4-ニトロベンゼン,1クロロ4ニトロベンゼン,ryukyu_material_alias,https://w3.u-ryukyu.ac.jp/yakuhin/json/yukitokka.txt
100-00-5,p-Nitrochlorobenzene,pnitrochlorobenzene,regulatory_export_name_en,ra-law-db/exports/regulatory_substances.csv
100-00-5,p-Nitrochlorobenzene,pnitrochlorobenzene,ryukyu_english_alias,https://w3.u-ryukyu.ac.jp/yakuhin/json/yukitokka.txt
100-00-5,p-クロロニトロベンゼン,pクロロニトロベンゼン,ryukyu_material_alias,https://w3.u-ryukyu.ac.jp/yakuhin/json/yukitokka.txt
100-00-5,p-ニトロクロロベンゼン,pニトロクロロベンゼン,regulatory_export_name_ja,ra-law-db/exports/regulatory_substances.csv
100-00-5,p-ニトロクロロベンゼン,pニトロクロロベンゼン,ryukyu_name,https://w3.u-ryukyu.ac.jp/yakuhin/json/yukitokka.txt
100-00-5,パラ―ニトロクロロベンゼン,パラニトロクロロベンゼン,law_entry_raw_name,412CO0000000138:別表第一
100-00-5,パラ―ニトロクロロベンゼン,パラニトロクロロベンゼン,law_mapping_exact_name,412CO0000000138:別表第一
100-00-5,パラ-ニトロクロロベンゼン,パラニトロクロロベンゼン,regulatory_export_name_ja,ra-law-db/exports/regulatory_substances.csv
100-21-0,Terephthalic Acid,terephthalicacid,regulatory_export_name_en,ra-law-db/exports/regulatory_substances.csv
100-21-0,テレフタル酸,テレフタル酸,law_entry_raw_name,412CO0000000138:別表第一
100-21-0,テレフタル酸,テレフタル酸,law_mapping_exact_name,412CO0000000138:別表第一
100-21-0,テレフタル酸,テレフタル酸,regulatory_export_name_ja,ra-law-db/exports/regulatory_substances.csv
100-41-4,Ethylbenzene,ethylbenzene,regulatory_export_name_en,ra-law-db/exports/regulatory_substances.csv
100-41-4,Ethylbenzene,ethylbenzene,ryukyu_english_alias,https://w3.u-ryukyu.ac.jp/yakuhin/json/yukitokka.txt
100-41-4,エチルベンゼン,エチルベンゼン,law_entry_raw_name,412CO0000000138:別表第一
100-41-4,エチルベンゼン,エチルベンゼン,law_mapping_exact_name,412CO0000000138:別表第一
100-41-4,エチルベンゼン,エチルベンゼン,regulatory_export_name_ja,ra-law-db/exports/regulatory_substances.csv
100-41-4,エチルベンゼン,エチルベンゼン,ryukyu_name,https://w3.u-ryukyu.ac.jp/yakuhin/json/yukitokka.txt
100-42-5,Styrene,styrene,regulatory_export_name_en,ra-law-db/exports/regulatory_substances.csv
100-42-5,Styrene,styrene,ryukyu_english_alias,https://w3.u-ryukyu.ac.jp/yakuhin/json/yukitokka.txt
100-42-5,スチレン,スチレン,law_entry_raw_name,412CO0000000138:別表第一
100-42-5,スチレン,スチレン,law_mapping_exact_name,412CO0000000138:別表第一
100-42-5,スチレン,スチレン,regulatory_export_name_ja,ra-law-db/exports/regulatory_substances.csv
100-42-5,スチレン,スチレン,ryukyu_name,https://w3.u-ryukyu.ac.jp/yakuhin/json/yukitokka.txt
100-44-7,Benzyl chloride,benzylchloride,regulatory_export_name_en,ra-law-db/exports/regulatory_substances.csv
100-44-7,ベンジル＝クロリド,ベンジル=クロリド,law_entry_raw_name,412CO0000000138:別表第一
100-44-7,塩化ベンジル,塩化ベンジル,law_entry_raw_name,412CO0000000138:別表第一
100-44-7,塩化ベンジル,塩化ベンジル,law_mapping_alias,412CO0000000138:別表第一
100-44-7,塩化ベンジル,塩化ベンジル,regulatory_export_name_ja,ra-law-db/exports/regulatory_substances.csv
100-52-7,Benzaldehyde,benzaldehyde,regulatory_export_name_en,ra-law-db/exports/regulatory_substances.csv
100-52-7,ベンズアルデヒド,ベンズアルデヒド,law_entry_raw_name,412CO0000000138:別表第一
100-52-7,ベンズアルデヒド,ベンズアルデヒド,law_mapping_exact_name,412CO0000000138:別表第一
100-52-7,ベンズアルデヒド,ベンズアルデヒド,regulatory_export_name_ja,ra-law-db/exports/regulatory_substances.csv
100-97-0,"1,3,5,7-Tetraazatricyclo[3.3.1.1(3,7)]decane","1,3,5,7tetraazatricyclo[3.3.1.1]decane",regulatory_export_name_en,ra-law-db/exports/regulatory_substances.csv
100-97-0,１，３，５，７－テトラアザトリシクロ［３．３．１．１（３，７）］デカン,"1,3,5,7テトラアザトリシクロ[3.3.1.1]デカン",regulatory_export_name_ja,ra-law-db/exports/regulatory_substances.csv
100-97-0,ヘキサメチレンテトラミン,ヘキサメチレンテトラミン,law_entry_raw_name,412CO0000000138:別表第一
100-97-0,ヘキサメチレンテトラミン,ヘキサメチレンテトラミン,law_mapping_alias,412CO0000000138:別表第一
100-97-0,一・三・五・七―テトラアザトリシクロ［三・三・一・一三・七］デカン,一・三・五・七テトラアザトリシクロ[三・三・一・一三・七]デカン,law_entry_raw_name,412CO0000000138:別表第一
10022-68-1,Cadmium nitrate tetrahydrate,cadmiumnitratetetrahydrate,regulatory_export_name_en,ra-law-db/exports/regulatory_substances.csv
10022-68-1,Cadmium nitrate tetrahydrate,cadmiumnitratetetrahydrate,ryukyu_english_alias,https://w3.u-ryukyu.ac.jp/yakuhin/json/yukitokka.txt
10022-68-1,カドミウム及びその化合物,カドミウム及びその化合物,regulatory_export_name_ja,ra-law-db/exports/regulatory_substances.csv
