law_code,category_code,seq,kind,label_ja,label_en,basis_ja,condition_ja,threshold_note,owner_hint,health_check_type,health_check_interval,health_record_years,measurement_interval,measurement_record_years,work_record_years,supervisor_ja,notice_ja
ish,*,1,mandatory,該当する安衛法関連の区分（特化則・有機則・鉛則・ラベル/SDS等）を確認し、作業条件（取扱量・工程・ばく露経路・換気）を確定する,"Confirm the applicable ISH category and work conditions (amount, process, exposure route, ventilation)",安衛法57〜57条の3；安衛則577条の2,,,研究室,,,,,,,,
ish,*,2,mandatory,該当区分に応じた特殊健康診断・作業環境測定・記録保存・作業主任者・掲示を計画する,"Plan special health checks, workplace measurement, records, supervisor and notices per category",特化則・有機則・鉛則；安衛則577条の2,,,環境安全,,,,,,,,
ish,label_sds,1,mandatory,容器へのラベル表示（GHS）を行う,Label containers (GHS),安衛法57；安衛則33条の2,,裾切値：ラベル 0.1〜1 %（物質ごと。JOHAS一覧に値あり）,研究室,,,,,,,,ラベル（GHS）
ish,label_sds,2,mandatory,SDSを入手・保管し作業者へ周知する,"Obtain, keep and communicate the SDS","安衛法57条の2, 101条4項；安衛則98条の2第3項",,裾切値：SDS 0.1〜1 %（物質ごと）,研究室,,,,,,,,SDSの周知
ish,label_sds,3,mandatory,リスクアセスメントを実施し、結果と措置の記録を次回リスクアセスメントまで（3年以内に次回を実施した場合は3年間）保存し、労働者に周知する,Conduct risk assessment; keep records 3 years,安衛法57条の3；安衛則34条の2の7〜8,,,研究室,,,,,,3,,
ish,label_sds,4,mandatory,化学物質管理者を選任する（事業場）,Appoint a chemical substance manager,安衛則12条の5,,,事業場,,,,,,,化学物質管理者,
ish,label_sds,5,mandatory,ばく露を最小限にする措置（代替物・密閉・局排・全体換気・呼吸用保護具等）を講じ、雇入れ時等教育を行い、措置状況等の記録を1年以内ごとに作成し3年保存する,"Minimise exposure (ventilation, PPE), train workers, keep records 3 years",安衛則577条の2第1項・第11項；35条,,,研究室,,,,,,3,,
ish,label_sds,6,conditional,濃度基準値がある物質は測定または推定で確認し、記録を3年保存する,Measure or estimate against the OEL where set; keep records 3 years,安衛則577条の2第2項・第11項,濃度基準値が設定されている物質を屋内作業場で製造・取り扱う場合,,環境安全,,,,測定または推定,3,,,
ish,label_sds,7,conditional,リスクアセスメント結果に基づき関係労働者の意見を聴き、必要と認めるときは医師等によるリスクアセスメント対象物健康診断を実施し、記録を5年（がん原性物質は30年）保存する（濃度基準値超過ばく露のおそれがあれば速やかに実施）,Consider medical opinion and health checks based on RA results,安衛則577条の2第3〜6項,RA結果でばく露リスクが高い場合,,産業保健,リスクアセスメント対象物健康診断,,5,,,,,
ish,occupational_exposure_limit,1,mandatory,8時間・短時間の濃度基準値を超えないよう管理する（測定または推定）,Keep exposure below the 8-h/short-term OEL (measure or estimate),安衛則577条の2第2項；告示（濃度基準値）,屋内作業場,,環境安全,,,,測定または推定（濃度基準値）,3,,,
